Opponent,SBCC 1Q,SBCC 2Q,SBCC 3Q,SBCC 4Q,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q
LA Harbor,12,16,18,10,9,6,11,18
Santa Ana,18,9,17,17,10,6,14,19
Riverside,12,14,14,17,30,11,19,16
Bakersfield,12,24,14,17,11,17,4,17
Solano,16,11,16,15,11,15,22,22
Antelope Valley,15,22,20,11,19,12,15,18
Victor Valley,7,7,16,19,18,17,22,21
Mt San Jacinto,19,12,8,12,11,19,17,11
San Mateo,6,18,13,8,8,12,16,13
Ohlone,18,19,13,20,12,8,11,10
Bakersfield,20,15,18,13,6,12,17,21
Santa Ana,18,16,16,17,4,15,12,19
Riverside,6,12,18,26,16,18,18,22
LA Valley,6,12,14,9,21,17,20,18
Moorpark,14,11,10,24,14,14,12,20
LA Pierce,15,19,35,19,13,13,14,7
Ventura,9,8,8,16,17,16,14,8
Alan Hancock,7,17,18,24,12,12,11,22
Cuesta,9,21,23,15,8,24,16,7
Oxnard,25,8,33,17,15,8,13,13
Cuesta,21,16,19,18,6,12,15,19
Moorpark,11,9,8,10,14,21,17,9
LA Pierce,16,19,24,24,12,5,21,11
Monterey Peninsula,27,23,18,19,20,28,10,23
Hartnell,13,17,11,16,20,12,25,15
Ventura,8,5,18,12,15,13,23,10
Alan Hancock,12,23,19,21,23,20,18,21
Oxnard,15,23,14,16,5,6,21,20
Mt San Jacinto,7,23,15,12,16,20,15,15