Year,Semester,Overall Section,Final exam grades,Final exam grade %,Notes
2017,Fall,1,92,61.33,
2017,Fall,1,106,70.67,
2017,Fall,1,131,87.33,
2017,Fall,1,86,57.33,
2017,Fall,1,154,100,
2017,Fall,1,77,51.33,
2017,Fall,1,135,90,
2017,Fall,1,100,66.67,
2017,Fall,1,0,0,
2017,Fall,1,116,77.33,
2017,Fall,1,138,92,
2017,Fall,1,98,65.33,
2017,Fall,1,133,88.67,
2017,Fall,1,143,95.33,
2017,Fall,1,98,65.33,
2017,Fall,1,0,0,
2017,Fall,1,73,48.67,
2017,Fall,1,0,0,
2017,Fall,1,156,100,
2017,Fall,1,0,0,
2017,Fall,1,154,100,
2017,Fall,1,102,68,
2017,Fall,1,156,100,
2018,Spring,2,136,90.67,
2018,Spring,2,153,100,
2018,Spring,2,160,100,
2018,Spring,2,142,94.67,
2018,Spring,2,49,32.67,
2018,Spring,2,141,94,
2018,Spring,2,49,32.67,
2018,Spring,2,108,72,
2018,Spring,2,153,100,
2018,Spring,2,154,100,
2018,Spring,2,85,56.67,
2018,Spring,2,93,62,
2018,Spring,2,0,0,
2018,Spring,2,104,69.33,
2018,Spring,2,49,32.67,
2018,Spring,2,119,79.33,
2018,Spring,2,0,0,
2018,Spring,2,152,100,
2018,Spring,2,129,86,
2018,Spring,2,115,76.67,
2018,Spring,2,0,0,
2018,Spring,2,112,74.67,
2018,Fall,3,105,70,
2018,Fall,3,70,46.67,
2018,Fall,3,0,0,
2018,Fall,3,137,91.33,
2018,Fall,3,143,95.33,
2018,Fall,3,96,64,
2018,Fall,3,146,97.33,
2018,Fall,3,141,94,
2018,Fall,3,0,0,
2018,Fall,3,137,91.33,
2018,Fall,3,105,70,
2018,Fall,3,146,97.33,
2018,Fall,3,0,0,
2018,Fall,3,116,77.33,
2018,Fall,3,140,93.33,
2018,Fall,3,138,92,
2018,Fall,3,0,0,
2018,Fall,3,0,0,
2018,Fall,3,140,93.33,
2018,Fall,3,136,90.67,
2018,Fall,3,108,72,
2018,Fall,3,106,70.67,
2018,Fall,3,146,97.33,
2018,Fall,3,53,35.33,
2018,Fall,3,129,86,
2018,Fall,3,0,0,
2018,Fall,3,133,88.67,
2018,Fall,4,137,91.33,
2018,Fall,4,138,92,
2018,Fall,4,0,0,
2018,Fall,4,0,0,
2018,Fall,4,38,25.33,
2018,Fall,4,137,91.33,
2018,Fall,4,135,90,
2018,Fall,4,152,100,
2018,Fall,4,0,0,
2018,Fall,4,128,85.33,
2018,Fall,4,0,0,
2018,Fall,4,128,85.33,
2018,Fall,4,88,58.67,
2018,Fall,4,145,96.67,
2018,Fall,4,130,86.67,
2018,Fall,4,151,100,
2018,Fall,4,63,42,
2018,Fall,4,155,100,
2018,Fall,4,0,0,
2018,Fall,4,117,78,
2018,Fall,4,0,0,
2018,Fall,4,155,100,
2018,Fall,4,140,93.33,
2018,Fall,4,106,70.67,
2018,Fall,4,135,90,
2018,Fall,4,0,0,
2018,Fall,4,0,0,
2018,Fall,4,152,100,
2019,Spring,5,125,86.21,exam was out of 145
2019,Spring,5,123,84.83,exam was out of 145
2019,Spring,5,140,96.55,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,120,82.76,exam was out of 145
2019,Spring,5,127,87.59,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,106,73.1,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,147,100,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,157,100,exam was out of 145
2019,Spring,5,124,85.52,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,106,73.1,exam was out of 145
2019,Spring,5,80,55.17,exam was out of 145
2019,Spring,5,0,0,exam was out of 145
2019,Spring,5,70,48.28,exam was out of 145
2019,Spring,5,149,100,exam was out of 145
2019,Spring,5,50,34.48,exam was out of 145
2019,Fall,6,127,84.67,
2019,Fall,6,0,0,
2019,Fall,6,142,94.67,
2019,Fall,6,100,66.67,
2019,Fall,6,91,60.67,
2019,Fall,6,123,82,
2019,Fall,6,146,97.33,
2019,Fall,6,91,60.67,
2019,Fall,6,70,46.67,
2019,Fall,6,133,88.67,
2019,Fall,6,144,96,
2019,Fall,6,130,86.67,
2019,Fall,6,150,100,
2019,Fall,6,143,95.33,
2019,Fall,6,134,89.33,
2019,Fall,6,114,76,
2019,Fall,6,0,0,
2019,Fall,6,0,0,
2019,Fall,6,91,60.67,
2019,Fall,6,0,0,
2019,Fall,6,145,96.67,
2019,Fall,6,144,96,
2019,Fall,6,0,0,
2019,Fall,6,0,0,
2019,Fall,6,0,0,
2019,Fall,6,116,77.33,
2019,Fall,6,143,95.33,
2019,Fall,6,122,81.33,
2019,Fall,6,74,49.33,
2019,Fall,7,0,0,
2019,Fall,7,0,0,
2019,Fall,7,135,90,
2019,Fall,7,141,94,
2019,Fall,7,0,0,
2019,Fall,7,48,32,
2019,Fall,7,114,76,
2019,Fall,7,132,88,
2019,Fall,7,156,100,
2019,Fall,7,144,96,
2019,Fall,7,0,0,
2019,Fall,7,111,74,
2019,Fall,7,67,44.67,
2019,Fall,7,0,0,
2019,Fall,7,152,100,
2019,Fall,7,137,91.33,
2019,Fall,7,136,90.67,
2019,Fall,7,145,96.67,
2019,Fall,7,135,90,
2019,Fall,7,75,50,
2019,Fall,7,49,32.67,
2019,Fall,7,142,94.67,
2019,Fall,7,151,100,
2019,Fall,7,77,51.33,
2019,Fall,7,95,63.33,
2019,Fall,7,149,99.33,
2019,Fall,7,142,94.67,
2019,Fall,7,126,84,
2020,Spring,8,140,93.33,
2020,Spring,8,119,79.33,
2020,Spring,8,140,93.33,
2020,Spring,8,0,0,
2020,Spring,8,110,73.33,
2020,Spring,8,116,77.33,
2020,Spring,8,41,27.33,
2020,Spring,8,145,96.67,
2020,Spring,8,131,87.33,
2020,Spring,8,148,98.67,
2020,Spring,8,136,90.67,
2020,Spring,8,0,0,
2020,Spring,8,109,72.67,
2020,Spring,8,0,0,
2020,Spring,8,93,62,
2020,Spring,8,150,100,
2020,Spring,8,102,68,
2020,Spring,8,128,85.33,
2020,Spring,8,135,90,
2020,Spring,8,0,0,
2020,Spring,8,134,89.33,
2020,Spring,8,97,64.67,
2020,Fall,9,140,93.33,
2020,Fall,9,140,93.33,
2020,Fall,9,114,76,
2020,Fall,9,100,66.67,
2020,Fall,9,136,90.67,
2020,Fall,9,120,80,
2020,Fall,9,143,95.33,
2020,Fall,9,115,76.67,
2020,Fall,9,121,80.67,
2020,Fall,9,146,97.33,
2020,Fall,9,132,88,
2020,Fall,9,0,0,
2020,Fall,9,137,91.33,
2020,Fall,9,127,84.67,
2020,Fall,9,0,0,
2020,Fall,9,137,91.33,
2020,Fall,9,89,59.33,
2020,Fall,9,133,88.67,
2020,Fall,9,104,69.33,
2020,Fall,9,90,60,
2020,Fall,9,89,59.33,
2020,Fall,9,0,0,
2020,Fall,9,137,91.33,
2020,Fall,9,75,50,
2021,Spring,10,145,96.67,
2021,Spring,10,113,75.33,
2021,Spring,10,0,0,
2021,Spring,10,109,72.67,
2021,Spring,10,137,91.33,
2021,Spring,10,0,0,
2021,Spring,10,105,70,
2021,Spring,10,109,72.67,
2021,Spring,10,141,94,
2021,Spring,10,122,81.33,
2021,Spring,10,107,71.33,
2021,Spring,10,20,13.33,
2021,Spring,10,118,78.67,
2021,Spring,10,138,92,
2021,Spring,10,144,96,
2021,Spring,10,134,89.33,
2021,Spring,10,97,64.67,
2021,Spring,10,111,74,
2021,Spring,10,96,64,
2021,Spring,10,149,99.33,
2021,Spring,10,129,86,
2021,Spring,10,78,52,
2021,Spring,10,145,96.67,
2021,Spring,10,123,82,
2021,Spring,10,77,51.33,
2021,Spring,10,125,83.33,
2021,Spring,10,136,90.67,
2021,Spring,10,122,81.33,
2021,Spring,10,121,80.67,
2021,Fall,11,0,0,
2021,Fall,11,0,0,
2021,Fall,11,134,89.33,
2021,Fall,11,108,72,
2021,Fall,11,82,54.67,
2021,Fall,11,155,100,
2021,Fall,11,121,80.67,
2021,Fall,11,130,86.67,
2021,Fall,11,143,95.33,
2021,Fall,11,128,85.33,
2021,Fall,11,144,96,
2021,Fall,11,142,94.67,
2021,Fall,11,121,80.67,
2021,Fall,11,145,96.67,
2021,Fall,11,75,50,
2021,Fall,11,117,78,
2021,Fall,11,131,87.33,
2021,Fall,11,81,54,
2022,Spring,12,133,88.67,
2022,Spring,12,0,0,
2022,Spring,12,135,90,
2022,Spring,12,0,0,
2022,Spring,12,130,86.67,
2022,Spring,12,0,0,
2022,Spring,12,0,0,
2022,Spring,12,138,92,
2022,Spring,12,157,100,
2022,Spring,12,149,99.33,
2022,Spring,12,153,100,
2022,Spring,12,129,86,
2022,Spring,12,75,50,
2022,Spring,12,154,100,
2022,Spring,12,124,82.67,
2022,Spring,12,136,90.67,
2022,Spring,12,0,0,
2022,Spring,12,136,90.67,
2022,Spring,12,149,99.33,
2022,Spring,12,110,73.33,
2022,Fall,13,126,84,
2022,Fall,13,0,0,
2022,Fall,13,135,90,
2022,Fall,13,135,90,
2022,Fall,13,0,0,
2022,Fall,13,78,52,
2022,Fall,13,126,84,
2022,Fall,13,120,80,
2022,Fall,13,150,100,
2022,Fall,13,132,88,
2022,Fall,13,135,90,
2022,Fall,13,109,72.67,
2022,Fall,13,150,100,
2022,Fall,13,86,57.33,
2022,Fall,13,0,0,
2022,Fall,13,140,93.33,
2022,Fall,13,105,70,
2022,Fall,13,0,0,
2022,Fall,13,133,88.67,
2022,Fall,13,0,0,
2022,Fall,13,96,64,
2022,Fall,13,131,87.33,
2022,Fall,13,82,54.67,
2022,Fall,13,150,100,
2022,Fall,13,97,64.67,
2022,Fall,13,105,70,
2022,Fall,13,0,0,
2022,Fall,13,0,0,
2022,Fall,14,110,73.33,
2022,Fall,14,106,70.67,
2022,Fall,14,150,100,
2022,Fall,14,136,90.67,
2022,Fall,14,148,98.67,
2022,Fall,14,0,0,
2022,Fall,14,140,93.33,
2022,Fall,14,130,86.67,
2022,Fall,14,0,0,
2022,Fall,14,127,84.67,
2022,Fall,14,133,88.67,
2022,Fall,14,135,90,
2022,Fall,14,0,0,
2022,Fall,14,53,35.33,
2022,Fall,14,126,84,
2022,Fall,14,105,70,
2022,Fall,14,125,83.33,
2022,Fall,14,91,60.67,
2022,Fall,14,118,78.67,
2022,Fall,14,138,92,
2023,Spring,15,67,47.86,exam was out of 140
2023,Spring,15,108,77.14,exam was out of 140
2023,Spring,15,132,94.29,exam was out of 140
2023,Spring,15,121,86.43,exam was out of 140
2023,Spring,15,91,65,exam was out of 140
2023,Spring,15,105,75,exam was out of 140
2023,Spring,15,140,100,exam was out of 140
2023,Spring,15,61,43.57,exam was out of 140
2023,Spring,15,111,79.29,exam was out of 140
2023,Spring,15,58,41.43,exam was out of 140
2023,Spring,15,140,100,exam was out of 140
2023,Spring,15,101,72.14,exam was out of 140
2023,Spring,15,101,72.14,exam was out of 140
2023,Spring,15,71,50.71,exam was out of 140
2023,Spring,15,99,70.71,exam was out of 140
2023,Spring,15,140,100,exam was out of 140
2023,Spring,15,136,97.14,exam was out of 140
2023,Spring,15,140,100,exam was out of 140
2023,Spring,15,140,100,exam was out of 140
2023,Spring,15,108,77.14,exam was out of 140
2023,Spring,15,0,0,exam was out of 140
2023,Spring,15,140,100,exam was out of 140
2023,Spring,15,123,87.86,exam was out of 140
